dimension,contribution
0.000000000000000000e+00,4.130002441406250000e+02
1.000000000000000000e+00,3.987504577636718750e+02
2.000000000000000000e+00,4.029578247070312500e+02
3.000000000000000000e+00,4.301296081542968750e+02
4.000000000000000000e+00,4.406987609863281250e+02
5.000000000000000000e+00,4.165166320800781250e+02
6.000000000000000000e+00,4.243423461914062500e+02
7.000000000000000000e+00,4.354323120117187500e+02
8.000000000000000000e+00,4.301610107421875000e+02
9.000000000000000000e+00,4.046817321777343750e+02
1.000000000000000000e+01,4.310519409179687500e+02
1.100000000000000000e+01,4.212078247070312500e+02
1.200000000000000000e+01,4.397628784179687500e+02
1.300000000000000000e+01,4.395319519042968750e+02
1.400000000000000000e+01,4.318711853027343750e+02
1.500000000000000000e+01,4.152597351074218750e+02
1.600000000000000000e+01,4.380105590820312500e+02
1.700000000000000000e+01,4.302302246093750000e+02
1.800000000000000000e+01,4.222557678222656250e+02
1.900000000000000000e+01,4.399246826171875000e+02
