dimension,contribution
0.000000000000000000e+00,4.231541442871093750e+02
1.000000000000000000e+00,4.218042907714843750e+02
2.000000000000000000e+00,4.255346984863281250e+02
3.000000000000000000e+00,4.161051635742187500e+02
4.000000000000000000e+00,4.222373352050781250e+02
5.000000000000000000e+00,4.185185852050781250e+02
6.000000000000000000e+00,4.174338684082031250e+02
7.000000000000000000e+00,4.172722167968750000e+02
8.000000000000000000e+00,4.271537780761718750e+02
9.000000000000000000e+00,4.160506896972656250e+02
1.000000000000000000e+01,4.231041259765625000e+02
1.100000000000000000e+01,4.241417236328125000e+02
1.200000000000000000e+01,4.252416076660156250e+02
1.300000000000000000e+01,4.366657714843750000e+02
1.400000000000000000e+01,4.169916687011718750e+02
1.500000000000000000e+01,4.177709350585937500e+02
1.600000000000000000e+01,4.293928222656250000e+02
1.700000000000000000e+01,4.138325805664062500e+02
1.800000000000000000e+01,4.297299499511718750e+02
1.900000000000000000e+01,4.229777832031250000e+02
