feature,importance
feature_51,504
feature_50,369
feature_55,349
feature_54,273
feature_49,217
feature_21,103
feature_63,101
feature_13,98
feature_57,83
feature_48,82
feature_52,78
feature_58,75
feature_25,74
feature_59,68
feature_39,63
feature_37,63
feature_61,61
feature_14,61
feature_38,61
feature_32,60
feature_1,59
feature_24,59
feature_0,56
feature_17,55
feature_4,54
feature_41,53
feature_33,53
feature_8,51
feature_62,49
feature_7,48
feature_10,46
feature_42,46
feature_11,45
feature_18,45
feature_43,44
feature_60,44
feature_53,43
feature_2,42
feature_23,42
feature_5,40
feature_22,40
feature_27,39
feature_47,38
feature_3,36
feature_45,35
feature_16,33
feature_46,31
feature_28,29
feature_20,29
feature_35,28
feature_15,28
feature_34,27
feature_19,27
feature_30,26
feature_31,24
feature_40,22
feature_26,21
feature_44,21
feature_36,20
feature_6,19
feature_12,18
feature_9,16
feature_56,15
feature_29,13
